model,num of layers retrain,accuracy_test,accuracy_train,accuracy_val,img_size,seed,precision_covid,recall_covid,f1_covid,epochs,augmentation
MobileNetV2,54,0.8235294222831726,0.9057904481887816,0.7317658066749573,"(160, 160)",47,0.9222222222222224,0.8556701030927835,0.8877005347593583,24,yes
VGG16,9,0.8695651888847351,0.9615119695663452,0.7783109545707703,"(224, 224)",47,0.9619771863117872,0.8694158075601375,0.9133574007220218,35,yes
Xception,72,0.5907928347587585,0.9846047759056092,0.8075816035270691,"(299, 299)",47,1.0,0.4879725085910653,0.6558891454965358,60,yes
DensetNet,347,0.8976982235908508,0.9724264740943909,0.8378118872642517,"(224, 224)",47,0.9773584905660377,0.8900343642611683,0.9316546762589928,60,yes
