,base,acuracia-teste,precision-covid-teste,recall-covid-teste,f1-covid-teste,precision-non-covid-teste,recall-non-covid-teste,f1-non-covid-teste,conf-matrix-teste,acuracia-val,precision-covid-val,recall-covid-val,f1-covid-val,precision-non-covid-val,recall-non-covid-val,f1-non-covid-val,conf-matrix-val
0,densenet,0.9130434782608695,0.974169741697417,0.9072164948453608,0.9395017793594307,0.775,0.93,0.8454545454545456,"[[ 93   7]
 [ 27 264]]",0.9888888888888889,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9907407407407407,0.9907407407407407,0.9907407407407407,"[[107   1]
 [  1  71]]"
1,densenet,0.9002557544757033,0.9736842105263158,0.8900343642611683,0.9299820466786355,0.744,0.93,0.8266666666666667,"[[ 93   7]
 [ 32 259]]",0.9666666666666667,0.9714285714285714,0.9444444444444444,0.9577464788732395,0.9636363636363636,0.9814814814814815,0.9724770642201834,"[[106   2]
 [  4  68]]"
2,densenet,0.9156010230179028,0.9708029197080292,0.9140893470790378,0.9415929203539823,0.7863247863247863,0.92,0.847926267281106,"[[ 92   8]
 [ 25 266]]",0.9888888888888889,1.0,0.9722222222222222,0.9859154929577464,0.9818181818181818,1.0,0.9908256880733944,"[[108   0]
 [  2  70]]"
3,densenet,0.9156010230179028,0.9742647058823529,0.9106529209621993,0.9413854351687388,0.7815126050420168,0.93,0.8493150684931506,"[[ 93   7]
 [ 26 265]]",0.9777777777777777,0.9857142857142858,0.9583333333333334,0.971830985915493,0.9727272727272728,0.9907407407407407,0.981651376146789,"[[107   1]
 [  3  69]]"
4,densenet,0.8976982097186701,0.9735849056603774,0.8865979381443299,0.9280575539568344,0.7380952380952381,0.93,0.8230088495575221,"[[ 93   7]
 [ 33 258]]",0.9833333333333333,1.0,0.9583333333333334,0.9787234042553191,0.972972972972973,1.0,0.9863013698630138,"[[108   0]
 [  3  69]]"
5,densenet,0.9104859335038363,0.9671532846715328,0.9106529209621993,0.9380530973451328,0.7777777777777778,0.91,0.8387096774193549,"[[ 91   9]
 [ 26 265]]",0.9722222222222222,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9813084112149533,0.9722222222222222,0.9767441860465117,"[[105   3]
 [  2  70]]"
6,densenet,0.9130434782608695,0.9572953736654805,0.9243986254295533,0.9405594405594406,0.8,0.88,0.8380952380952381,"[[ 88  12]
 [ 22 269]]",0.9888888888888889,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9907407407407407,0.9907407407407407,0.9907407407407407,"[[107   1]
 [  1  71]]"
7,densenet,0.9130434782608695,0.9706959706959707,0.9106529209621993,0.9397163120567376,0.7796610169491526,0.92,0.8440366972477064,"[[ 92   8]
 [ 26 265]]",0.9888888888888889,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9907407407407407,0.9907407407407407,0.9907407407407407,"[[107   1]
 [  1  71]]"
8,densenet,0.9053708439897699,0.9738805970149254,0.8969072164948454,0.9338103756708408,0.7560975609756098,0.93,0.8340807174887893,"[[ 93   7]
 [ 30 261]]",0.9777777777777777,0.9857142857142858,0.9583333333333334,0.971830985915493,0.9727272727272728,0.9907407407407407,0.981651376146789,"[[107   1]
 [  3  69]]"
9,densenet,0.9104859335038363,0.9705882352941176,0.9072164948453608,0.9378330373001776,0.773109243697479,0.92,0.8401826484018265,"[[ 92   8]
 [ 27 264]]",0.9833333333333333,0.96,1.0,0.9795918367346939,1.0,0.9722222222222222,0.9859154929577464,"[[105   3]
 [  0  72]]"
