base,acuracia-teste,precision-covid-teste,recall-covid-teste,f1-covid-teste,precision-non-covid-teste,recall-non-covid-teste,f1-non-covid-teste,conf-matrix-teste,acuracia-val,precision-covid-val,recall-covid-val,f1-covid-val,precision-non-covid-val,recall-non-covid-val,f1-non-covid-val,conf-matrix-val
densenet,0.9028132992327366,0.9773584905660377,0.8900343642611683,0.9316546762589928,0.746031746031746,0.94,0.831858407079646,"[[ 94   6]
 [ 32 259]]",0.9722222222222222,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.963963963963964,0.9907407407407407,0.9771689497716894,"[[107   1]
 [  4  68]]"
densenet,0.9053708439897699,0.9774436090225563,0.8934707903780069,0.933572710951526,0.752,0.94,0.8355555555555555,"[[ 94   6]
 [ 31 260]]",0.9833333333333333,1.0,0.9583333333333334,0.9787234042553191,0.972972972972973,1.0,0.9863013698630138,"[[108   0]
 [  3  69]]"
densenet,0.9028132992327366,0.9809885931558935,0.8865979381443299,0.9314079422382671,0.7421875,0.95,0.8333333333333334,"[[ 95   5]
 [ 33 258]]",0.9888888888888889,1.0,0.9722222222222222,0.9859154929577464,0.9818181818181818,1.0,0.9908256880733944,"[[108   0]
 [  2  70]]"
densenet,0.9053708439897699,0.9810606060606061,0.8900343642611683,0.9333333333333333,0.7480314960629921,0.95,0.8370044052863436,"[[ 95   5]
 [ 32 259]]",0.9833333333333333,0.9859154929577465,0.9722222222222222,0.979020979020979,0.981651376146789,0.9907407407407407,0.9861751152073732,"[[107   1]
 [  2  70]]"
densenet,0.9028132992327366,0.9773584905660377,0.8900343642611683,0.9316546762589928,0.746031746031746,0.94,0.831858407079646,"[[ 94   6]
 [ 32 259]]",0.9833333333333333,0.9859154929577465,0.9722222222222222,0.979020979020979,0.981651376146789,0.9907407407407407,0.9861751152073732,"[[107   1]
 [  2  70]]"
densenet,0.9053708439897699,0.9810606060606061,0.8900343642611683,0.9333333333333333,0.7480314960629921,0.95,0.8370044052863436,"[[ 95   5]
 [ 32 259]]",0.9833333333333333,0.9726027397260274,0.9861111111111112,0.9793103448275863,0.9906542056074766,0.9814814814814815,0.986046511627907,"[[106   2]
 [  1  71]]"
densenet,0.9028132992327366,0.9773584905660377,0.8900343642611683,0.9316546762589928,0.746031746031746,0.94,0.831858407079646,"[[ 94   6]
 [ 32 259]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[108   0]
 [  0  72]]"
densenet,0.9028132992327366,0.9773584905660377,0.8900343642611683,0.9316546762589928,0.746031746031746,0.94,0.831858407079646,"[[ 94   6]
 [ 32 259]]",0.9833333333333333,0.9859154929577465,0.9722222222222222,0.979020979020979,0.981651376146789,0.9907407407407407,0.9861751152073732,"[[107   1]
 [  2  70]]"
densenet,0.9053708439897699,0.9810606060606061,0.8900343642611683,0.9333333333333333,0.7480314960629921,0.95,0.8370044052863436,"[[ 95   5]
 [ 32 259]]",0.9833333333333333,0.9726027397260274,0.9861111111111112,0.9793103448275863,0.9906542056074766,0.9814814814814815,0.986046511627907,"[[106   2]
 [  1  71]]"
densenet,0.9002557544757033,0.9772727272727273,0.8865979381443299,0.9297297297297297,0.7401574803149606,0.94,0.8281938325991189,"[[ 94   6]
 [ 33 258]]",0.9777777777777777,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9814814814814815,0.9814814814814815,0.9814814814814815,"[[106   2]
 [  2  70]]"
