"","mean_kappa"
"densenet",0.811916839986698
"densenet_gauss",0.747097735623428
"mobilenet",0.743755462984351
"mobilenet_gauss",0.709562362861835
"vgg16",0.78085182320449
"vgg16_gauss",0.745405827086131
