"","mean_kappa"
"densenet",0.780851324464056
"densenet_gauss",0.803324895716713
"mobilenet",0.711213065238216
"mobilenet_gauss",0.705164729961546
"vgg16",0.799031897906151
"vgg16_gauss",0.765667685053681
