"","acuracia-teste","precision-covid-teste","recall-covid-teste","f1-covid-teste","precision-non-covid-teste","recall-non-covid-teste","f1-non-covid-teste"
"densenet",0.003,0.004,0.002,0.002,0.004,0.01,0.006
"densenet_gauss",0.002,0.001,0.003,0.002,0.005,0.004,0.004
"mobilenet",0.003,0.002,0.004,0.003,0.005,0.006,0.004
"mobilenet_gauss",0.003,0.002,0.004,0.002,0.004,0.004,0.004
"vgg16",0.002,0.003,0.002,0.002,0.004,0.008,0.005
"vgg16_gauss",0.002,0.002,0.004,0.002,0.006,0.006,0.004
