"","acuracia-teste","precision-covid-teste","recall-covid-teste","f1-covid-teste","precision-non-covid-teste","recall-non-covid-teste","f1-non-covid-teste"
"densenet",0.926,0.969,0.929,0.949,0.816,0.915,0.863
"densenet_gauss",0.894,0.98,0.875,0.925,0.723,0.948,0.821
"mobilenet",0.893,0.978,0.875,0.924,0.722,0.944,0.818
"mobilenet_gauss",0.877,0.972,0.86,0.913,0.695,0.927,0.794
"vgg16",0.913,0.964,0.917,0.94,0.789,0.9,0.841
"vgg16_gauss",0.897,0.963,0.896,0.928,0.748,0.9,0.817
