"","mean_kappa"
"densenet",0.763890876075155
"densenet_gauss",0.819014685633577
"mobilenet",0.66454907389346
"mobilenet_gauss",0.65710125093843
"vgg16",0.771217372510705
"vgg16_gauss",0.765881870905295
